,m,R,|R|
480,,F₂ × F₁₆ × F₄,128
481,,F₄ × F₂ × F₁₆,128
482,,F₄ × F₁₆ × F₂,128
483,,F₁₆ × F₂ × F₄,128
484,,F₁₆ × F₄ × F₂,128
485,,F₃ × F₈₁,243
486,,F₈₁ × F₃,243
487,,F₅ × F₇₉,395
488,,F₂₅ × F₅₉,1475
489,,F₁₁ × F₇₃,803
490,,F₁₃ × F₇₁,923
491,,F₁₇ × F₆₇,1139
492,,F₂₃ × F₆₁,1403
493,,F₃₁ × F₅₃,1643
494,,F₃₇ × F₄₇,1739
495,,F₄₁ × F₄₃,1763
496,84,F₂ × F₂ × F₅ × F₅,100
497,,F₂ × F₈₃,166
498,,F₄ × F₃ × F₃ × F₃,108
499,,F₄ × F₃ × F₁₃,156
500,,F₄ × F₉ × F₅,180
501,,F₄ × F₈₁,324
502,,F₈ × F₃ × F₇,168
503,,F₁₆ × F₃ × F₃,144
504,,F₃₂ × F₅₃,1696
505,85,F₃ × F₅ × F₁₁,165
506,,F₃ × F₈₃,249
507,,F₂₇ × F₅₉,1593
508,,F₈₁ × F₅,405
509,,F₂₅ × F₆₁,1525
510,,F₇ × F₇₉,553
511,,F₄₉ × F₃₇,1813
512,,F₁₃ × F₇₃,949
513,,F₁₉ × F₆₇,1273
514,,F₄₃ × F₄₃,1849
515,86,F₄ × F₄ × F₁₁,176
516,,F₄ × F₈₃,332
517,,F₈ × F₇₉,632
518,,F₁₆ × F₇₁,1136
519,,F₆₄ × F₂₃,1472
520,87,F₉ × F₇₉,711
521,,F₂₇ × F₆₁,1647
522,,F₈₁ × F₇,567
523,,F₅ × F₈₃,415
524,,F₁₇ × F₇₁,1207
525,,F₂₉ × F₅₉,1711
526,,F₄₁ × F₄₇,1927
527,88,F₂ × F₂ × F₂₉,116
528,,F₂ × F₄ × F₁₇,136
529,,F₂ × F₈ × F₉,144
530,,F₄ × F₂ × F₁₇,136
531,,F₄ × F₇ × F₇,196
532,,F₈ × F₂ × F₉,144
533,,F₈ × F₈₁,648
534,,F₈ × F₅ × F₅,200
535,,F₁₆ × F₇₃,1168
536,,F₆₄ × F₂₅,1600
537,89,F₃ × F₃ × F₁₇,153
538,,F₉ × F₈₁,729
539,,F₈₁ × F₉,729
540,,F₇ × F₈₃,581
541,,F₄₉ × F₄₁,2009
542,,F₁₁ × F₇₉,869
543,,F₁₇ × F₇₃,1241
544,,F₁₉ × F₇₁,1349
545,,F₂₃ × F₆₇,1541
546,,F₂₉ × F₆₁,1769
547,,F₃₁ × F₅₉,1829
548,,F₃₇ × F₅₃,1961
549,,F₄₃ × F₄₇,2021
550,90,F₂ × F₂ × F₂ × F₄ × F₃,96
551,,F₂ × F₂ × F₄ × F₂ × F₃,96
552,,F₂ × F₄ × F₂ × F₂ × F₃,96
553,,F₂ × F₈₉,178
554,,F₄ × F₂ × F₂ × F₂ × F₃,96
555,,F₈ × F₈₃,664
556,,F₃₂ × F₅₉,1888
557,,F₆₄ × F₂₇,1728
558,91,F₃ × F₈₉,267
559,,F₉ × F₈₃,747
560,,F₈₁ × F₁₁,891
561,,F₂₅ × F₆₇,1675
562,,F₄₉ × F₄₃,2107
563,,F₁₃ × F₇₉,1027
564,,F₁₉ × F₇₃,1387
565,,F₃₁ × F₆₁,1891
566,92,F₂ × F₂ × F₂ × F₁₃,104
567,,F₂ × F₂ × F₃ × F₉,108
568,,F₂ × F₂ × F₉ × F₃,108
569,,F₄ × F₈₉,356
570,,F₃₂ × F₆₁,1952
571,,F₆₄ × F₂₉,1856
572,93,F₃ × F₉ × F₇,189
573,,F₉ × F₃ × F₇,189
574,,F₂₇ × F₆₇,1809
575,,F₈₁ × F₁₃,1053
576,,F₅ × F₈₉,445
577,,F₁₁ × F₈₃,913
578,,F₂₃ × F₇₁,1633
579,,F₄₁ × F₅₃,2173
580,,F₄₇ × F₄₇,2209
581,94,F₂ × F₂ × F₂ × F₂ × F₂ × F₃,96
582,,F₂ × F₂ × F₄ × F₇,112
583,,F₂ × F₂ × F₃₁,124
584,,F₂ × F₄ × F₂ × F₇,112
585,,F₂ × F₃ × F₂₃,138
586,,F₂ × F₇ × F₁₁,154
587,,F₄ × F₂ × F₂ × F₇,112
